DeviceAddress,Nome,MAC,TAG,LAT,LONG,Grupo,Modelo
0006E419,HDA01 - 150W,5C-CF-7F-06-E4-19,L353,-24.244975,-50.747790,Klabin,HDA-150
0006E5BB,HDA01 - 150W,5C-CF-7F-06-E5-BB,L258,-24.244980,-50.747790,Klabin,HDA-150
0006E53B,HDA01 - 150W,5C-CF-7F-06-E5-3B,L241,-24.244985,-50.747790,Klabin,HDA-150
0006E770,HDA01 - 150W,5C-CF-7F-06-E7-70,L382,-24.244990,-50.747790,Klabin,HDA-150
0006E705,HDA01 - 150W,5C-CF-7F-06-E7-05,L372,-24.244995,-50.747790,Klabin,HDA-150
000AF5D3,HDA01 - 150W,5C-CF-7F-0A-F5-D3,L429,-24.245000,-50.747790,Klabin,HDA-150
0006E681,HDA01 - 150W,5C-CF-7F-06-E6-81,L410,-24.245005,-50.747790,Klabin,HDA-150
000AF6C3,HDA01 - 150W,5C-CF-7F-0A-F6-C3,L270,-24.245010,-50.747790,Klabin,HDA-150
0006E48F,HDA01 - 150W,5C-CF-7F-06-E4-8F,L257,-24.245015,-50.747795,Klabin,HDA-150
000AF5EF,HDA01 - 150W,5C-CF-7F-0A-F5-EF,L346,-24.245020,-50.747795,Klabin,HDA-150
0006E5FB,HDA01 - 150W,5C-CF-7F-06-E5-FB,L340,-24.245025,-50.747795,Klabin,HDA-150
000AF44D,HDA01 - 150W,5C-CF-7F-0A-F4-4D,L323,-24.245030,-50.747795,Klabin,HDA-150
0006E376,HDA01 - 150W,5C-CF-7F-06-E3-76,L370,-24.245035,-50.747795,Klabin,HDA-150
0006E420,HDA01 - 150W,5C-CF-7F-06-E4-20,L398,-24.245040,-50.747795,Klabin,HDA-150
0006E3E8,HDA01 - 150W,5C-CF-7F-06-E3-E8,L375,-24.245045,-50.747795,Klabin,HDA-150
0006E6F8,HDA01 - 150W,5C-CF-7F-06-E6-F8,L414,-24.245050,-50.747795,Klabin,HDA-150
0006E624,HDA01 - 150W,5C-CF-7F-06-E6-24,L348,-24.245055,-50.747795,Klabin,HDA-150
0006E571,HDA01 - 150W,5C-CF-7F-06-E5-71,L385,-24.245060,-50.747800,Klabin,HDA-150
0006E59B,HDA01 - 150W,5C-CF-7F-06-E5-9B,L384,-24.245065,-50.747800,Klabin,HDA-150
0006E60F,HDA01 - 150W,5C-CF-7F-06-E6-0F,L287,-24.245070,-50.747800,Klabin,HDA-150
0006E775,HDA01 - 150W,5C-CF-7F-06-E7-75,L395,-24.245075,-50.747800,Klabin,HDA-150
009E825A,HDA01 - 150W,18-FE-34-9E-82-5A,L017,-24.245080,-50.747800,Klabin,HDA-150
0006E338,HDA01 - 150W,5C-CF-7F-06-E3-38,L310,-24.245085,-50.747800,Klabin,HDA-150
0006E5FD,HDA01 - 150W,5C-CF-7F-06-E5-FD,L249,-24.245090,-50.747800,Klabin,HDA-150
0006E465,HDA01 - 150W,5C-CF-7F-06-E4-65,L279,-24.245095,-50.747800,Klabin,HDA-150
000AF6C0,HDA01 - 150W,5C-CF-7F-0A-F6-C0,L284,-24.245100,-50.747800,Klabin,HDA-150
0006E41A,HDA01 - 150W,5C-CF-7F-06-E4-1A,L283,-24.245105,-50.747800,Klabin,HDA-150
0006E4FB,HDA01 - 150W,5C-CF-7F-06-E4-FB,L268,-24.245110,-50.747805,Klabin,HDA-150
0006E546,HDA01 - 150W,5C-CF-7F-06-E5-46,L277,-24.245115,-50.747805,Klabin,HDA-150
000AF548,HDA01 - 150W,5C-CF-7F-0A-F5-48,L294,-24.245120,-50.747805,Klabin,HDA-150
000AF428,HDA01 - 150W,5C-CF-7F-0A-F4-28,L315,-24.245125,-50.747805,Klabin,HDA-150
0006E343,HDA01 - 150W,5C-CF-7F-06-E3-43,L311,-24.245130,-50.747805,Klabin,HDA-150
0006E3D8,HDA01 - 150W,5C-CF-7F-06-E3-D8,L266,-24.245135,-50.747805,Klabin,HDA-150
0006E53D,HDA01 - 150W,5C-CF-7F-06-E5-3D,L302,-24.245140,-50.747805,Klabin,HDA-150
